geom_id,AR,lambda,twist,n_hover_steps,n_cruise_steps,meas_hover_alpha,meas_hover_v,meas_hover_mu,meas_hover_var,meas_cruise_alpha,meas_cruise_v,meas_cruise_mu,pred_hover_alpha,pred_hover_v,pred_hover_mu,pred_hover_std,pred_hover_lower95,pred_hover_upper95,pred_cruise_alpha,pred_cruise_v,pred_cruise_mu,pred_cruise_std,pred_cruise_lower95,pred_cruise_upper95,pred_hover_mu_norm,pred_cruise_mu_norm,meas_hover_mu_norm,meas_cruise_mu_norm
G011,25.3346,0.7961,-8.0708,20,0,13.7598,19.6556,0.789221,8.58744e-05,,,,12.6984,21.5714,0.748253,0.0399291,0.619164,0.877342,12.6984,25,4.10336,0.255756,3.16031,5.04642,1.96163,1.18973,2.06904,
G012,28.1597,0.591,-8.7941,16,0,12.8153,38.6491,0.500375,0.000801737,,,,16.3492,38.6032,0.743463,0.0456177,0.595982,0.890943,11.4286,25,4.03192,0.261501,3.06768,4.99615,1.94908,1.16902,1.31179,
G013,30.6026,0.5744,-14.4311,18,0,17.6018,23.8688,0.728073,0.00017353,,,,17.1429,23.9206,0.752612,0.0357281,0.637104,0.86812,14.2857,25,3.60422,0.321295,2.41951,4.78894,1.97306,1.04501,1.90873,
G014,22.6762,0.9229,-3.2208,18,0,10.186,21.6313,0.703829,0.000109893,,,,11.2698,21.5714,0.701188,0.0563798,0.518914,0.883462,9.52381,25,4.31175,0.290304,3.24131,5.38219,1.83825,1.25015,1.84517,
G015,24.4518,0.7666,-7.764,20,0,11.2931,27.9633,0.48999,8.69118e-05,,,,12.6984,21.5714,0.747791,0.0402323,0.617721,0.877861,12.0635,25,4.21689,0.256124,3.27248,5.16129,1.96042,1.22265,1.28457,
G016,25.767,0.7282,-6.4564,17,0,11.9463,24.1096,0.498846,9.00693e-05,,,,12.5397,21.5714,0.734272,0.0494301,0.574466,0.894078,11.1111,25,4.17975,0.255341,3.23823,5.12127,1.92498,1.21188,1.30778,
G017,26.7735,0.9114,-8.082,17,0,14.7825,19.5356,0.829344,0.000737296,,,,12.381,21.5714,0.738658,0.0530288,0.567218,0.910099,13.9683,25,4.03321,0.259367,3.07685,4.98958,1.93648,1.16939,2.17422,
G018,18.9254,0.8231,-11.4812,11,0,18.866,28.6777,0.513127,0.00045657,,,,12.5397,21.5714,0.585218,0.071411,0.354348,0.816087,14.2857,25,4.70612,0.282777,3.66343,5.74881,1.53422,1.36449,1.34522,
G019,27.5308,0.6426,-13.409,20,0,18.4644,19.541,0.99258,7.76311e-05,,,,16.9841,23.9206,0.717316,0.0440889,0.574778,0.859854,14.6032,25,3.96769,0.266865,2.98368,4.95171,1.88053,1.15039,2.60217,
G020,20.9572,0.9923,-12.7917,20,0,17.0273,19.4611,1.05609,0.000328687,,,,17.4603,19.2222,0.547826,0.0935245,0.245465,0.850188,15.873,25,4.62571,0.306068,3.49714,5.75428,1.43619,1.34118,2.76867,
G021,29.9744,0.7542,-4.4538,17,0,12.2868,21.7252,0.526416,0.000191759,,,,12.0635,21.5714,0.684116,0.066758,0.468289,0.899942,10.4762,25,3.81753,0.274674,2.80472,4.83034,1.79349,1.10686,1.38006,
G022,28.4204,0.6829,-13.4306,20,0,19.8312,44.7509,0.616467,5.4874e-05,,,,16.8254,23.9206,0.703349,0.0501928,0.541077,0.865621,14.6032,25,3.87189,0.269252,2.87907,4.8647,1.84391,1.12262,1.61614,
G023,20.5814,0.6238,-9.4421,13,0,13.2693,21.6288,0.654639,0.000612117,,,,16.3492,38.6032,0.687811,0.0569477,0.503701,0.871921,11.4286,25,4.93637,0.265335,3.95799,5.91474,1.80318,1.43125,1.71621,
G024,23.1866,0.9656,-9.9982,17,0,14.9615,21.6093,0.624607,0.000509513,,,,12.381,21.5714,0.64354,0.0685024,0.422074,0.865005,14.9206,25,4.36397,0.266075,3.38287,5.34507,1.68712,1.26529,1.63748,
G025,23.8209,0.6773,-11.6893,18,0,16.1859,19.5575,0.830562,0.000145174,,,,16.6667,23.9206,0.636008,0.0615809,0.436919,0.835097,13.6508,25,4.36558,0.2569,3.41832,5.31285,1.66737,1.26576,2.17742,
G026,19.1039,0.7726,-13.7904,13,0,19.4908,25.9401,0.473995,7.60626e-05,,,,16.6667,23.9206,0.603455,0.0693522,0.379241,0.827668,15.2381,25,4.81116,0.297918,3.71264,5.90967,1.58203,1.39495,1.24264,
G027,20.9961,0.9923,-3.2208,20,0,19.8312,38.2238,0.417839,1.97732e-06,,,,11.2698,21.5714,0.691194,0.0608807,0.494369,0.888019,9.52381,25,4.3322,0.322478,3.14313,5.52128,1.81205,1.25608,1.09541,
G028,26.1059,0.977317,-9.17982,0,1,,,,,15.1752,17.8989,3.80236,12.381,21.5714,0.676678,0.0651976,0.465897,0.88746,14.9206,25,4.20647,0.265402,3.22785,5.18509,1.77399,1.21962,,1.10246
G029,30.4863,0.901902,-9.05861,0,1,,,,,17.2385,20.7288,3.44899,12.5397,21.5714,0.697582,0.0605612,0.50179,0.893375,14.6032,25,3.8693,0.278469,2.84251,4.8961,1.8288,1.12187,,1
